--- asteroids vs asteroids ---
3 0 0.0699051 0.725969
3 1 0.0265832 0.785398
3 2 0.234808 0.785398
3 3 0.00923382 0.785398
3 4 0.0259005 0.0919045
4 0 0.0365811 0.441387
4 1 0.0369049 -0.166403
4 2 0.017161 0.330307
4 3 0.0912021 -0.785398
4 4 0.0598203 0.785398
5 0 0.0327817 0.785398
5 1 0.142698 0.785398
5 2 0.0236625 0.785398
5 3 0.0966182 -0.00988136
5 4 0.0174166 -0.785398
6 0 0.0571188 -0.640209
6 1 0.1085 0.214752
6 2 0.129781 -0.785398
6 3 0.0159135 0.395098
6 4 0.0157632 -0.561401
7 0 0.0475575 -0.581725
7 1 0.0200723 -0.785398
7 2 0.0222415 -0.313973
7 3 0.0157765 0.785398
7 4 2.83576 -0.785398
8 0 0.0288021 0.655805
8 1 0.0384491 0.105867
8 2 0.0153566 0.486489
8 3 0.260575 -0.785398
8 4 0.0351937 0.785398
9 0 0.0314924 0.785398
9 1 0.0901948 0.771943
9 2 0.020439 0.785398
9 3 0.32282 -0.017357
9 4 0.0209364 -0.785398

******************** ITERATION *******************
--- asteroids vs asteroids ---
0 1 0.00984768 -0.785398
0 2 0.0130306 0.124834
0 3 0.00214049 0.785398
0 4 0.00623491 -0.482599
1 2 0.00588252 0.785398
1 3 0.00394683 0.502712
1 4 0.00254089 -0.785398
2 3 0.00133716 0.710951
2 4 0.00260912 -0.236283
3 4 0.00196342 0.785398
--- asteroids vs planets ---
0 0 0.0421597 -0.115785
0 1 0.0240522 -0.618541
0 2 0.0183015 -0.0259844
0 3 0.0262778 -0.785398
0 4 0.346923 0.785398
1 0 0.029998 0.785398
1 1 0.112258 0.785398
1 2 0.0206071 0.785398
1 3 0.129747 -0.0117796
1 4 0.0172213 -0.785398
2 0 0.0524782 -0.738179
2 1 0.122633 0.0310321
2 2 0.0992368 -0.785398
2 3 0.0180608 0.329649
2 4 0.0158359 -0.615575
3 0 0.0699051 0.725969
3 1 0.0265832 0.785398
3 2 0.234808 0.785398
3 3 0.00923382 0.785398
3 4 0.0259006 0.0919053
4 0 0.0365811 0.441387
4 1 0.0369049 -0.166403
4 2 0.017161 0.330307
4 3 0.091202 -0.785398
4 4 0.0598204 0.785398
5 0 0.0327817 0.785398
5 1 0.142698 0.785398
5 2 0.0236625 0.785398
5 3 0.0966183 -0.00988114
5 4 0.0174166 -0.785398
6 0 0.0571189 -0.640209
6 1 0.1085 0.214751
6 2 0.129781 -0.785398
6 3 0.0159135 0.395098
6 4 0.0157632 -0.561401
7 0 0.0475575 -0.581725
7 1 0.0200723 -0.785398
7 2 0.0222415 -0.313973
7 3 0.0157765 0.785398
7 4 2.8357 -0.785398
8 0 0.0288021 0.655805
8 1 0.038449 0.105868
8 2 0.0153566 0.486489
8 3 0.260575 -0.785398
8 4 0.0351937 0.785398
9 0 0.0314924 0.785398
9 1 0.0901947 0.771943
9 2 0.020439 0.785398
9 3 0.322821 -0.0173567
9 4 0.0209365 -0.785398

******************** ITERATION *******************
--- asteroids vs asteroids ---
0 1 0.00984769 -0.785398
0 2 0.0130306 0.124834
0 3 0.00214049 0.785398
0 4 0.00623493 -0.482599
1 2 0.00588252 0.785398
1 3 0.00394683 0.502712
1 4 0.00254089 -0.785398
2 3 0.00133716 0.710951
2 4 0.00260913 -0.236283
3 4 0.00196343 0.785398
--- asteroids vs planets ---
0 0 0.0421597 -0.115785
0 1 0.0240522 -0.618541
0 2 0.0183015 -0.0259844
0 3 0.0262777 -0.785398
0 4 0.346923 0.785398
1 0 0.029998 0.785398
1 1 0.112258 0.785398
1 2 0.0206071 0.785398
1 3 0.129747 -0.0117793
1 4 0.0172213 -0.785398
2 0 0.0524782 -0.738179
2 1 0.122633 0.0310318
2 2 0.0992368 -0.785398
2 3 0.0180608 0.329649
2 4 0.0158359 -0.615575
3 0 0.0699052 0.725969
3 1 0.0265833 0.785398
3 2 0.234808 0.785398
3 3 0.00923382 0.785398
3 4 0.0259006 0.0919062
4 0 0.0365811 0.441387
4 1 0.0369049 -0.166402
4 2 0.017161 0.330307
4 3 0.0912019 -0.785398
4 4 0.0598205 0.785398
5 0 0.0327817 0.785398
5 1 0.142698 0.785398
5 2 0.0236625 0.785398
5 3 0.0966185 -0.0098809
5 4 0.0174166 -0.785398
6 0 0.0571189 -0.640209
6 1 0.1085 0.214751
6 2 0.129781 -0.785398
6 3 0.0159135 0.395099
6 4 0.0157633 -0.561401
7 0 0.0475574 -0.581725
7 1 0.0200723 -0.785398
7 2 0.0222414 -0.313973
7 3 0.0157765 0.785398
7 4 2.83564 -0.785398
8 0 0.0288021 0.655805
8 1 0.038449 0.105868
8 2 0.0153566 0.486489
8 3 0.260575 -0.785398
8 4 0.0351937 0.785398
9 0 0.0314924 0.785398
9 1 0.0901946 0.771943
9 2 0.020439 0.785398
9 3 0.322822 -0.0173562
9 4 0.0209365 -0.785398

******************** ITERATION *******************
--- asteroids vs asteroids ---
0 1 0.00984769 -0.785398
0 2 0.0130306 0.124834
0 3 0.00214049 0.785398
0 4 0.00623496 -0.482598
1 2 0.00588253 0.785398
1 3 0.00394683 0.502712
1 4 0.0025409 -0.785398
2 3 0.00133716 0.710951
2 4 0.00260913 -0.236282
3 4 0.00196343 0.785398
--- asteroids vs planets ---
0 0 0.0421597 -0.115785
0 1 0.0240522 -0.618541
0 2 0.0183015 -0.0259844
0 3 0.0262777 -0.785398
0 4 0.346922 0.785398
1 0 0.029998 0.785398
1 1 0.112258 0.785398
1 2 0.0206071 0.785398
1 3 0.129748 -0.011779
1 4 0.0172214 -0.785398
2 0 0.0524782 -0.738179
2 1 0.122634 0.0310315
2 2 0.0992368 -0.785398
2 3 0.0180608 0.329649
2 4 0.0158359 -0.615575
3 0 0.0699052 0.725969
3 1 0.0265833 0.785398
3 2 0.234808 0.785398
3 3 0.00923383 0.785398
3 4 0.0259007 0.0919073
4 0 0.0365811 0.441387
4 1 0.0369049 -0.166402
4 2 0.017161 0.330307
4 3 0.0912018 -0.785398
4 4 0.0598206 0.785398
5 0 0.0327817 0.785398
5 1 0.142698 0.785398
5 2 0.0236625 0.785398
5 3 0.0966187 -0.00988062
5 4 0.0174167 -0.785398
6 0 0.0571189 -0.64021
6 1 0.108501 0.214751
6 2 0.129781 -0.785398
6 3 0.0159135 0.395099
6 4 0.0157633 -0.561401
7 0 0.0475574 -0.581725
7 1 0.0200723 -0.785398
7 2 0.0222414 -0.313973
7 3 0.0157765 0.785398
7 4 2.83556 -0.785398
8 0 0.0288021 0.655805
8 1 0.038449 0.105868
8 2 0.0153566 0.486489
8 3 0.260574 -0.785398
8 4 0.0351938 0.785398
9 0 0.0314924 0.785398
9 1 0.0901945 0.771943
9 2 0.020439 0.785398
9 3 0.322823 -0.0173558
9 4 0.0209365 -0.785398

******************** ITERATION *******************
--- asteroids vs asteroids ---
0 1 0.0098477 -0.785398
0 2 0.0130306 0.124834
0 3 0.00214049 0.785398
0 4 0.00623499 -0.482597
1 2 0.00588253 0.785398
1 3 0.00394683 0.502713
1 4 0.00254091 -0.785398
2 3 0.00133716 0.710951
2 4 0.00260914 -0.236281
3 4 0.00196343 0.785398
--- asteroids vs planets ---
0 0 0.0421596 -0.115785
0 1 0.0240522 -0.61854
0 2 0.0183015 -0.0259843
0 3 0.0262777 -0.785398
0 4 0.346922 0.785398
1 0 0.029998 0.785398
1 1 0.112258 0.785398
1 2 0.0206071 0.785398
1 3 0.129748 -0.0117787
1 4 0.0172214 -0.785398
2 0 0.0524783 -0.73818
2 1 0.122634 0.0310311
2 2 0.0992368 -0.785398
2 3 0.0180609 0.32965
2 4 0.015836 -0.615575
3 0 0.0699052 0.72597
3 1 0.0265833 0.785398
3 2 0.234808 0.785398
3 3 0.00923383 0.785398
3 4 0.0259008 0.0919084
4 0 0.036581 0.441387
4 1 0.0369048 -0.166402
4 2 0.017161 0.330307
4 3 0.0912017 -0.785398
4 4 0.0598207 0.785398
5 0 0.0327817 0.785398
5 1 0.142697 0.785398
5 2 0.0236625 0.785398
5 3 0.0966189 -0.00988032
5 4 0.0174167 -0.785398
6 0 0.057119 -0.64021
6 1 0.108501 0.214751
6 2 0.129781 -0.785398
6 3 0.0159135 0.395099
6 4 0.0157633 -0.561401
7 0 0.0475574 -0.581725
7 1 0.0200723 -0.785398
7 2 0.0222414 -0.313973
7 3 0.0157765 0.785398
7 4 2.83548 -0.785398
8 0 0.0288021 0.655804
8 1 0.0384489 0.105868
8 2 0.0153566 0.486489
8 3 0.260573 -0.785398
8 4 0.0351939 0.785398
9 0 0.0314924 0.785398
9 1 0.0901943 0.771942
9 2 0.020439 0.785398
9 3 0.322824 -0.0173553
9 4 0.0209366 -0.785398

******************** ITERATION *******************
--- asteroids vs asteroids ---
0 1 0.0098477 -0.785398
0 2 0.0130306 0.124834
0 3 0.00214049 0.785398
0 4 0.00623502 -0.482597
1 2 0.00588253 0.785398
1 3 0.00394683 0.502713
1 4 0.00254092 -0.785398
2 3 0.00133716 0.710952
2 4 0.00260915 -0.236281
3 4 0.00196343 0.785398
--- asteroids vs planets ---
0 0 0.0421596 -0.115785
0 1 0.0240522 -0.61854
0 2 0.0183015 -0.0259843
0 3 0.0262777 -0.785398
0 4 0.346922 0.785398
1 0 0.029998 0.785398
1 1 0.112258 0.785398
1 2 0.0206071 0.785398
1 3 0.129749 -0.0117783
1 4 0.0172214 -0.785398
2 0 0.0524783 -0.73818
2 1 0.122634 0.0310307
2 2 0.0992368 -0.785398
2 3 0.0180609 0.32965
2 4 0.015836 -0.615575
3 0 0.0699053 0.72597
3 1 0.0265833 0.785398
3 2 0.234808 0.785398
3 3 0.00923383 0.785398
3 4 0.0259008 0.0919097
4 0 0.036581 0.441387
4 1 0.0369048 -0.166402
4 2 0.017161 0.330306
4 3 0.0912016 -0.785398
4 4 0.0598208 0.785398
5 0 0.0327817 0.785398
5 1 0.142697 0.785398
5 2 0.0236625 0.785398
5 3 0.0966191 -0.00987998
5 4 0.0174168 -0.785398
6 0 0.057119 -0.64021
6 1 0.108501 0.214751
6 2 0.129781 -0.785398
6 3 0.0159135 0.395099
6 4 0.0157634 -0.561401
7 0 0.0475574 -0.581724
7 1 0.0200723 -0.785398
7 2 0.0222414 -0.313973
7 3 0.0157765 0.785398
7 4 2.83539 -0.785398
8 0 0.028802 0.655804
8 1 0.0384489 0.105868
8 2 0.0153566 0.486489
8 3 0.260573 -0.785398
8 4 0.0351939 0.785398
9 0 0.0314924 0.785398
9 1 0.0901942 0.771942
9 2 0.020439 0.785398
9 3 0.322826 -0.0173547
9 4 0.0209366 -0.785398

******************** ITERATION *******************
